Date,Open,High,Low,Close
2022/10/5,1361.5,1364.77,1316.29,1352.2
2022/10/6,1352.2,1383.99,1345.01,1352.06
2022/10/7,1352.07,1361.75,1317.26,1331.1
2022/10/8,1331.1,1337.35,1303.51,1315.48
2022/10/9,1315.48,1329,1307.26,1323.13
2022/10/10,1323.13,1338,1288,1290.03
2022/10/11,1290.03,1298,1267.01,1280.11
2022/10/12,1280.11,1306.87,1275.25,1294.44
2022/10/13,1294.44,1301.58,1190,1287.08
2022/10/14,1287.08,1343.12,1283.39,1296.27
2022/10/15,1296.26,1301.69,1263.64,1274.92
2022/10/16,1274.93,1315.35,1274.67,1305.95
2022/10/17,1305.96,1338.57,1295.64,1331.4
2022/10/18,1331.39,1341.73,1286.72,1310.71
2022/10/19,1310.71,1313.5,1280.31,1285.09
2022/10/20,1285.09,1310.87,1270.36,1282.57
2022/10/21,1282.57,1306.97,1252.65,1299.75
2022/10/22,1299.76,1320.2,1294.32,1313.61
2022/10/23,1313.62,1371.55,1299.44,1364.2
2022/10/24,1364.19,1370.6,1324.17,1343.61
2022/10/25,1343.61,1525.16,1334.94,1459.74
2022/10/26,1459.74,1594.99,1457.44,1566.1
2022/10/27,1566.11,1578.58,1503.2,1514.05
2022/10/28,1514.04,1574.9,1479.82,1554.41
2022/10/29,1554.4,1663.06,1547.66,1619.55
2022/10/30,1619.55,1640.06,1576.56,1590.44
2022/10/31,1590.45,1635.8,1545.43,1572.69
2022/11/1,1572.69,1612.92,1563.69,1578.48
2022/11/2,1578.47,1621.68,1502.32,1518.34
2022/11/3,1518.33,1559.01,1515.17,1531.01
2022/11/4,1531.01,1680,1528.4,1644.78
2022/11/5,1644.78,1666.97,1621.42,1626.98
2022/11/6,1626.98,1639.02,1564.39,1568.29
2022/11/7,1568.25,1608.04,1545.03,1568.1
2022/11/8,1568.09,1579.98,1233,1334.77
2022/11/9,1334.78,1337.16,1073.53,1102.73
2022/11/10,1102.73,1350,1085.93,1299.28
2022/11/11,1299.28,1310,1201.26,1289.28
2022/11/12,1289.35,1292.16,1238.7,1257.25
2022/11/13,1257.25,1274.23,1200.66,1221.49
2022/11/14,1221.5,1291.2,1171.13,1243.28
2022/11/15,1243.29,1291,1234.01,1253.23
